Fraction	Pop	freq.before	replicate	Time	evolved	well	well2	measurement	cutof	max	time	red	wt	col	row	Treatment	freq.after	Group	Ade	Structure	sample	change	freq.rat	change.nrm
B	A1	0.526367475	1	AM	BOTTOM	A1	A01	1	3.702299549	3.8	0.024962936	604	7219	1	A	AM	0.922791768	Allo	P	Allo	1	0.396424293	1.753132196	0.836987056
B	A1	0.526367475	2	AM	BOTTOM	A1	A01	1	3.569620796	3.8	0.024018127	370	10397	1	A	AM	0.965635739	Allo	P	Allo	1	0.439268264	1.834527748	0.92744531
B	A1	0.526367475	5	AM	BOTTOM	A1	A01	481	2.671785616	3.8	0.01771679	1639	7185	1	A	AM	0.814256573	Allo	P	Allo	1	0.287889098	1.546935575	0.607832196
B	A1	0.526367475	3	AM	BOTTOM	A1	A01	1	3.799918616	3.8	0.023817609	237	11171	1	A	AM	0.979225105	Allo	P	Allo	1	0.45285763	1.860345009	0.956137103
B	A1	0.526367475	4	AM	BOTTOM	A1	A01	193	2.63537681	3.8	0.017543232	1493	6802	1	A	AM	0.820012055	Allo	P	Allo	1	0.29364458	1.557869918	0.619983985
B	A10	0.405886036	5	AM	BOTTOM	A10	A10	490	2.776516123	3.8	0.022026491	2840	7287	10	A	AM	0.719561568	Sym	R	Sym	1	0.313675532	1.772816761	0.52797199
B	A10	0.405886036	1	AM	BOTTOM	A10	A10	10	3.636266477	3.8	0.019679374	638	15208	10	A	AM	0.959737473	Sym	R	Sym	1	0.553851437	2.364549128	0.93223097
B	A10	0.405886036	2	AM	BOTTOM	A10	A10	10	3.708801354	3.8	0.019270952	346	13012	10	A	AM	0.974097919	Sym	R	Sym	1	0.568211883	2.399929615	0.956402167
B	A10	0.405886036	3	AM	BOTTOM	A10	A10	10	3.735691563	3.8	0.019171953	300	13257	10	A	AM	0.97787121	Sym	R	Sym	1	0.571985174	2.409226046	0.962753292
B	A10	0.405886036	4	AM	BOTTOM	A10	A10	202	2.506477526	3.796493742	0.018186553	1783	10522	10	A	AM	0.855099553	Sym	R	Sym	1	0.449213517	2.106747896	0.756106646
B	A11	0.6432007	2	AM	BOTTOM	A11	A11	11	3.510507489	3.8	0.020731295	1082	11982	11	A	AM	0.917176975	Sym	P	Sym	9	0.273976275	1.425957676	0.767872232
B	A11	0.6432007	3	AM	BOTTOM	A11	A11	11	3.553846426	3.8	0.018396827	1627	11445	11	A	AM	0.875535496	Sym	P	Sym	9	0.232334796	1.361216641	0.651163822
B	A11	0.6432007	5	AM	BOTTOM	A11	A11	491	3.111639987	3.8	0.015719	1484	11221	11	A	AM	0.883195592	Sym	P	Sym	9	0.239994893	1.373125982	0.672632745
B	A11	0.6432007	4	AM	BOTTOM	A11	A11	203	3.077442786	3.8	0.0143147	2526	12397	11	A	AM	0.830731086	Sym	P	Sym	9	0.187530387	1.29155812	0.525590679
B	A11	0.6432007	1	AM	BOTTOM	A11	A11	11	3.552251954	3.8	0.022785754	1846	8870	11	A	AM	0.827734229	Sym	P	Sym	9	0.18453353	1.286898832	0.5171914
B	A12	0.687028658	3	AM	BOTTOM	A12	A12	12	3.549437379	3.8	0.010306999	547	27846	12	A	AM	0.980734688	Sym	R	Sym	17	0.293706031	1.427501862	0.938443847
B	A12	0.687028658	4	AM	BOTTOM	A12	A12	204	3.080841086	3.8	0.009178276	570	23217	12	A	AM	0.976037331	Sym	R	Sym	17	0.289008674	1.420664656	0.923434943
B	A12	0.687028658	1	AM	BOTTOM	A12	A12	12	3.557851997	3.8	0.012351676	657	23322	12	A	AM	0.972601026	Sym	R	Sym	17	0.285572368	1.415662964	0.912455326
B	A12	0.687028658	5	AM	BOTTOM	A12	A12	492	3.097443695	3.8	0.00948928	531	21698	12	A	AM	0.976112286	Sym	R	Sym	17	0.289083628	1.420773755	0.923674436
B	A12	0.687028658	2	AM	BOTTOM	A12	A12	12	3.506939704	3.8	0.010514205	464	27475	12	A	AM	0.983392391	Sym	R	Sym	17	0.296363733	1.431370263	0.946935686
B	A2	0.679359217	5	AM	BOTTOM	A2	A02	482	3.078052394	3.8	0.009476286	574	24272	2	A	AM	0.97689769	Allo	R	Allo	9	0.297538472	1.437969287	0.927949558
B	A2	0.679359217	2	AM	BOTTOM	A2	A02	2	3.554276646	3.8	0.011032573	435	29144	2	A	AM	0.98529362	Allo	R	Allo	9	0.305934403	1.45032789	0.954134407
B	A2	0.679359217	1	AM	BOTTOM	A2	A02	2	3.738689941	3.8	0.012986214	295	22072	2	A	AM	0.986810927	Allo	R	Allo	9	0.307451709	1.452561328	0.958866514
B	A2	0.679359217	3	AM	BOTTOM	A2	A02	2	3.612959182	3.8	0.012480463	314	23560	2	A	AM	0.986847617	Allo	R	Allo	9	0.307488399	1.452615334	0.95898094
B	A2	0.679359217	4	AM	BOTTOM	A2	A02	194	3.055696657	3.8	0.009465726	669	21174	2	A	AM	0.969372339	Allo	R	Allo	9	0.290013121	1.426892157	0.904479833
B	A3	0.63569268	5	AM	BOTTOM	A3	A03	483	3.126459375	3.8	0.013670062	1165	13356	3	A	AM	0.919771366	Allo	P	Allo	17	0.284078686	1.446880536	0.779777594
